,timestamp,elapsedtime,x,y,description,Unnamed: 5,Unnamed: 6,r1_focusedAttention,r2_focusedAttention,focusedAttention,r1_clearGoals,r2_clearGoals,clearGoals,r1_clearCutFeedback,r2_clearCutFeedback,clearCutFeedback,r1_pleasure,r2_pleasure,pleasure,allEngagement
52,2 Aug 2021 9:35:06pm:15,686300,1037,295,note picker plus selected,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,2 Aug 2021 9:35:53pm:587,688500,1014,355,added a minim note,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,2 Aug 2021 9:36:00pm:276,691800,89,287,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2 Aug 2021 9:36:01pm:55,694400,109,308,added a crotchet note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2 Aug 2021 9:36:14pm:141,698900,439,281,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2 Aug 2021 9:36:14pm:938,700200,474,309,added a crotchet note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2 Aug 2021 9:36:21pm:638,702000,435,283,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2 Aug 2021 9:36:23pm:88,702900,449,332,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2 Aug 2021 9:36:29pm:743,704200,447,277,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2 Aug 2021 9:36:30pm:200,704700,447,277,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2 Aug 2021 9:36:39pm:577,707200,574,288,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2 Aug 2021 9:36:40pm:458,708600,613,401,added a quaver note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2 Aug 2021 9:36:46pm:821,710000,614,292,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2 Aug 2021 9:36:47pm:425,712300,664,345,added a crotchet note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2 Aug 2021 9:36:54pm:261,714000,661,280,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2 Aug 2021 9:36:54pm:969,716200,643,370,added a quaver note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2 Aug 2021 9:37:02pm:109,718000,694,280,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2 Aug 2021 9:37:03pm:202,719200,682,330,added a crotchet note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2 Aug 2021 9:37:11pm:439,721200,715,279,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2 Aug 2021 9:37:11pm:775,721300,715,279,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2 Aug 2021 9:37:17pm:263,721600,714,279,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2 Aug 2021 9:37:17pm:815,721800,714,279,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2 Aug 2021 9:37:21pm:275,723200,663,284,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2 Aug 2021 9:37:27pm:193,723300,661,280,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2 Aug 2021 9:37:29pm:683,725400,605,322,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2 Aug 2021 9:37:33pm:131,726100,606,320,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2 Aug 2021 9:37:47pm:567,729900,188,749,horizontal bar selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2 Aug 2021 9:38:18pm:212,732200,1014,279,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2 Aug 2021 9:38:18pm:969,733500,985,335,added a crotchet note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2 Aug 2021 9:38:22pm:670,735800,1031,279,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2 Aug 2021 9:38:23pm:118,736000,1028,278,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2 Aug 2021 9:38:23pm:486,736100,1028,278,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2 Aug 2021 9:38:31pm:412,738000,1073,293,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2 Aug 2021 9:38:32pm:495,740100,1039,390,added a quaver note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2 Aug 2021 9:38:38pm:228,742100,1074,328,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2 Aug 2021 9:38:42pm:117,742500,1074,328,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2 Aug 2021 9:38:45pm:734,743000,1074,328,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2 Aug 2021 9:39:10pm:763,747200,1088,277,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2 Aug 2021 9:39:12pm:86,748400,1053,339,added a quaver note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2 Aug 2021 9:39:19pm:455,750100,1274,302,vertical bar selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2 Aug 2021 9:39:33pm:357,755300,1088,321,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2 Aug 2021 9:39:33pm:757,755400,1088,321,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2 Aug 2021 9:39:40pm:989,758100,1055,316,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2 Aug 2021 9:39:41pm:364,758600,1055,316,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2 Aug 2021 9:39:50pm:331,761000,1121,280,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2 Aug 2021 9:39:51pm:151,762600,1098,328,added a quaver note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2 Aug 2021 9:39:58pm:925,765200,1114,264,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2 Aug 2021 9:39:59pm:221,755100,1114,264,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2 Aug 2021 9:39:59pm:557,766000,1114,264,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2 Aug 2021 9:39:59pm:949,766100,1114,264,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2 Aug 2021 9:40:00pm:477,766200,1114,264,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2 Aug 2021 9:40:11pm:24,768800,164,747,horizontal bar selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2 Aug 2021 9:40:42pm:305,774900,725,569,threefourbar block added,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2 Aug 2021 9:40:55pm:293,777400,628,586,threefourbar start drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2 Aug 2021 9:40:56pm:307,778500,692,433,threefourbar end drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2 Aug 2021 9:41:04pm:666,778500,713,407,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2 Aug 2021 9:41:07pm:101,781400,680,443,threefourbar start drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2 Aug 2021 9:41:07pm:205,783100,680,443,threefourbar end drag,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2 Aug 2021 9:41:12pm:739,783100,735,338,connection made between fivefourbar and threefourbar,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2 Aug 2021 9:41:17pm:970,784300,767,283,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2 Aug 2021 9:41:19pm:351,785700,753,314,added a minim note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2 Aug 2021 9:41:27pm:148,788000,783,276,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2 Aug 2021 9:41:27pm:428,788200,783,276,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2 Aug 2021 9:41:27pm:732,788300,783,276,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2 Aug 2021 9:41:28pm:124,788500,783,276,note moved up,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2 Aug 2021 9:41:34pm:939,790000,881,277,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2 Aug 2021 9:41:35pm:798,791500,877,288,added a crotchet note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2 Aug 2021 9:41:41pm:747,792300,888,315,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2 Aug 2021 9:41:42pm:123,793000,888,315,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2 Aug 2021 9:41:42pm:508,794300,888,315,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2 Aug 2021 9:41:48pm:938,795000,340,748,horizontal bar selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2 Aug 2021 9:41:53pm:899,796900,825,320,note moved down,,411.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124,2 Aug 2021 9:42:25pm:44,812600,302,14,time tab selected,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
125,2 Aug 2021 9:42:25pm:684,814100,363,16,dynamics tab selected,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
126,2 Aug 2021 9:42:30pm:60,816200,428,18,pitch tab selected,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,2 Aug 2021 9:42:50pm:791,823400,56,34,vertical bar selected,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,2 Aug 2021 9:42:50pm:795,823400,56,34,horizontal bar selected,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2 Aug 2021 9:42:50pm:795,823400,56,34,vertical bar selected,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2 Aug 2021 9:43:19pm:776,823400,416,71,time tab selected,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2 Aug 2021 9:43:32pm:999,831800,205,43,horizontal bar selected,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2 Aug 2021 9:43:32pm:999,831800,205,43,vertical bar selected,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2 Aug 2021 9:44:06pm:691,831800,195,743,horizontal bar selected,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,2 Aug 2021 9:44:11pm:469,850400,149,751,horizontal bar selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2 Aug 2021 9:44:31pm:64,860200,1036,281,note picker plus selected,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2 Aug 2021 9:44:31pm:812,861500,1020,298,added a crotchet note,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2 Aug 2021 9:44:37pm:849,863000,1044,315,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2 Aug 2021 9:44:38pm:56,864400,1044,315,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2 Aug 2021 9:44:38pm:272,872400,1044,315,note moved down,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2 Aug 2021 9:44:38pm:513,872900,1044,315,note moved down,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,2 Aug 2021 9:44:38pm:785,874300,1044,315,note moved down,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
142,2 Aug 2021 9:44:52pm:273,874700,1044,315,note moved down,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143,2 Aug 2021 9:45:08pm:153,877700,945,270,note moved up,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
144,2 Aug 2021 9:45:08pm:473,879500,945,270,note moved up,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,2 Aug 2021 9:45:08pm:921,880000,944,270,note moved up,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146,2 Aug 2021 9:45:09pm:385,880600,944,270,note moved up,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,2 Aug 2021 9:45:16pm:415,882000,942,271,note moved up,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
148,2 Aug 2021 9:45:16pm:887,884200,942,271,note moved up,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
149,2 Aug 2021 9:45:22pm:547,886500,990,270,note moved up,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150,2 Aug 2021 9:45:27pm:64,886900,994,312,note moved down,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,2 Aug 2021 9:45:27pm:424,887500,994,312,note moved down,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
